Время;Сообщение;Статус
17:11:19 11/09/25;Старт : Оператор sa Компьютер Компьютер 1 Версия 3.13.0.32952 3.13(Demo)_24_08_04_10_10;
17:19:03 11/09/25;Выход из Runtime : Оператор sa, Компьютер Компьютер 1;
